date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:09	91/91	---MCZ	200	added ('OK')	text/plain	etag:W/%22f9dff89adf98833e676de2205921996a%22	https://www.quizamazonopennow.com/robots.txt		(from )
21:34:09	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/index.html	(from )
21:34:10	361739/361739	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Mar%202026%2000:34:09%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/quizamazon/connect.facebook.net/en_US/fbevents.js	(from https://www.quizamazonopennow.com/)
21:34:10	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/My%20Web%20Sites/quizamazon/cdn.utmify.com.br/scripts/utms/latest.js	(from https://www.quizamazonopennow.com/)
21:34:10	39561/39561	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c8867dbe570699ec80107a60f10ffb55%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/My%20Web%20Sites/quizamazon/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://www.quizamazonopennow.com/)
21:34:11	738605/738605	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ea202e52fc3ded6f9ea7d87544482314%22	https://www.quizamazonopennow.com/assets/index-B_ftFdO6.js	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/assets/index-B_ftFdO6.js	(from https://www.quizamazonopennow.com/)
21:34:11	72100/72100	---MCZ	200	added ('OK')	text/css	etag:W/%223cdffdd0f8cd60e3bccf9fe4fdbc8fbf%22	https://www.quizamazonopennow.com/assets/index-DWC34VYY.css	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/assets/index-DWC34VYY.css	(from https://www.quizamazonopennow.com/)
21:34:12	21296/21296	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Mar%202026%2000:34:12%20GMT	https://www.quizamazonopennow.com/~flock.js	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/_flock.js	(from https://www.quizamazonopennow.com/)
21:34:12	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/t	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/t.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:12	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/signals/config/	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:13	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/e	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/e.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:13	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/signals/plugins/	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:13	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/schema.org/	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:13	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2006%20Mar%202026%2000:34:13%20GMT	https://www.quizamazonopennow.com/t.resolvedLink	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/t.8.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:14	3951/3951	---MCZ	200	added ('OK')	text/html	etag:W/%223e6493df037e78242b02d937e20838ae%22	https://www.quizamazonopennow.com/o	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/o.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:14	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2006%20Mar%202026%2000:34:15%20GMT	https://www.quizamazonopennow.com/signals/iwl.js	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:15	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2006%20Mar%202026%2000:34:15%20GMT	https://www.quizamazonopennow.com/signals/iwl.js?pixel_id=	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:15	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2006%20Mar%202026%2000:34:15%20GMT	https://www.quizamazonopennow.com/n.dl	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/n.dl	(from https://connect.facebook.net/en_US/fbevents.js)
21:34:16	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2006%20Mar%202026%2000:34:16%20GMT	https://www.quizamazonopennow.com/n.rl	C:/My%20Web%20Sites/quizamazon/www.quizamazonopennow.com/n.rl	(from https://connect.facebook.net/en_US/fbevents.js)
